Paraula,Definicio
A,['Símbol de anticicló. Símbol amb què s’indica un anticicló o una zona d’alta pressió atmosfèrica en els mapes isobàrics.']
abast del vent,"['Distància al llarg de la qual el vent manté unes característiques constants de direcció i de velocitat. Terme utilitzat sobretot en nàutica, àmbit en què es coneix amb la forma anglesa fetch.']"
abast visual,['Distància a la qual la diferència de luminàncies entre un objecte i el seu entorn permet distingir l’un de l’altre.']
abric termomètric,"['Artefacte de persianes o de posts per a abrigar els termòmetres contra la pluja, els raigs de Sol i la reverberació del terreny i de les parets, però que deixa circular lliurement l’aire a l’entorn dels aparells.']"
absorbància,['Quocient entre la radiació absorbida per un cos i la radiació que hi incideix.']
absorció atmosfèrica,"['Fenomen de transformació de la radiació, que incideix sobre els constituents de l’atmosfera, en un altre tipus d’energia.']"
Ac,['Símbol de altocúmulus.']
aclarida,"['Espai serè dins d’un sistema nuvolós. Quan és de poca extensió se’n diu clariana.', 'Transició de cel molt ennuvolat a poc ennuvolat o serè.']"
acreció,"['Creixement dels cristalls de gel que formen els flocs de neu.', 'Formació de neu granulada i de gebre mitjançant la incorporació de gotetes d’aigua subfosa en un cristall de glaç.']"
actinòmetre,['Piranòmetre.']
actinometria,['Estudi de les radiacions que arriben a la Terra o a un lloc determinat d’ella.']
acústica meteorològica,['Branca de la meteorologia que estudia els sons d’origen atmosfèric i la influència de les condicions atmosfèriques en la propagació i l’audibilitat dels sons en general.']
meteorologia acústica,['Acústica meteorològica.']
adiabàtic | adiabàtica,"['Qualificatiu dels canvis de temperatura, pressió i densitat d’una substància quan no se li comunica ni sostreu cap quantitat de calor.']"
adiabàtica,['Línia que representa els canvis de temperatura d’una massa d’aire petita sotmesa a un procés adiabàtic en un diagrama termodinàmic.']
adiabàtica saturada,"['Línia que, en un diagrama aerològic, representa les transformacions d’una quantitat d’aire saturat.']"
adiabàtica seca,"['Línia que, en un diagrama aerològic, representa les transformacions d’una quantitat d’aire sec.']"
advecció,"['Transport de calor degut al desplaçament de masses d’aire en direcció horitzontal.', 'Aquest mateix moviment.', 'Desplaçament horitzontal de l’aire que comporta transport de calor, vapor d’aigua i moment lineal, entre altres aspectes.']"
aerògraf,"['Instrument meteorològic que enregistra les dades de diverses variables meteorològiques, generalment a l’atmosfera lliure, i també a la capa límit.']"
aerodinàmica,"['Estudi dinàmic del moviment d’un cos dins l’aire.', 'Dinàmica dels gasos.']"
aerograma,"['Diagrama aerològic ideat per Refsdal, que té per abscisses log T i per ordenades T log p.']"
aerologia,"['Estudi (sobretot termodinàmic) de l’atmosfera. Sovint s’aplica en sentit restrictiu, significant solament l’estudi de l’atmosfera lliure.']"
aeronomia,"['Branca de l’aerologia que estudia les regions altes de l’atmosfera, per sobre dels 40 o 50 km d’altitud, on els fenòmens de dissociació i d’ionització de l’aire són intensos.']"
aeroplàncton,"['Plàncton atmosfèric.', 'Conjunt dels microorganismes i petits éssers vivents que voleien o estan en suspensió en l’atmosfera.']"
aerosol,"['Conjunt de corpuscles microscòpics en suspensió en l’atmosfera, que enterboleixen l’aire i li comuniquen propietats que recorden les de les solucions col·loidals.']"
agrometeorologia,['Meteorologia agrícola.']
agulla de glaç,"['Bastonet molt petit (o escates) de glaç, que voleia visiblement en l’aire. Es veu bé sobretot quan brilla a la lluïssor del Sol, i llavors pot produir columnes solars i altres fenòmens d’halo. Apareix en temps estable, a l’hivern, més freqüentment amb grans freds en l’hivern polar o en les altes regions de l’atmosfera lliure.']"
aigua precipitable,['Concepte teòric que s’obté considerant que es condensa tot el vapor d’aigua que conté una columna d’aire de secció unitat. S’acostuma a expressar en mm.']
aigualada,"['Dipòsit abundant del vapor d’aigua condensat de les capes més baixes de l’atmosfera, la temperatura de les quals, per causa de la irradiació del terreny, s’ha refredat fins a sota del punt de rosada.']"
aiguaneu,['Precipitació quelcom uniforme de neu a mig fondre o de neu i pluja barrejades.']
aiguat,"['Ploguda forta que pot produir torrentades, rierades i inundacions. El concepte fort fa referència a la intensitat, és a dir, una precipitació que en poc temps deixa registres importants d’aigua acumulada. S’associa a núvols convectius.']"
aire,['Barreja de gasos que constitueix l’atmosfera. Algunes vegades s’entén per aire aquesta barreja després d’haver-se’n eliminat el vapor d’aigua.']
aire clar,['Aire en el qual la visibilitat és bona.']
aire contaminat,['Aire que conté excés d’alguns dels seus components.']
aire equatorial,['Aire procedent de les baixes latituds.']
aire humit,"['En meteorologia, aire amb una humitat relativa molt elevada, que es condensa amb facilitat.']"
aire polar,['Aire procedent de les regions polars.']
aire pur,['Aire que no conté contaminants atmosfèrics.']
aire saturat,['Aire que conté tota la quantitat de vapor d’aigua compatible amb la seva temperatura.']
aire sec,"['En meteorologia, aire que, per ésser la seva temperatura molt superior al punt de rosada, es comporta físicament com si fos sec, encara que contingui vapor d’aigua.']"
aire tropical,['Aire procedent de les proximitats dels tròpics.']
AIREP,"['Informe que emet el pilot d’una aeronau en vol a partir dels fenòmens meteorològics adversos que observa. Aquest informe s’envia als organismes oficials de trànsit aeri perquè el transmetin a les oficines de vigilància meteorològica i sigui validat, codificat i comunicat a la resta d’usuaris aeronàutics.']"
alba,['Crepuscle del matí: temps comprès entre les primeres clarors matinals i la sortida del Sol. Trenc d’alba. Punta d’alba: començament del crepuscle del matí.']
albedo,"['Proporció de la llum incident en un cos no lluminós, que és reflectida difusament per ell.']"
albedo terrestre,['Albedo del conjunt format per la Terra i l’atmosfera. Té un valor de mitjana del 30 %.']
albedòmetre,['Instrument meteorològic que mesura l’albedo.']
alerta meteorològica,"['Alerta basada en un avís meteorològic que els serveis de protecció civil emeten quan consideren que les condicions meteorològiques poden suposar un perill per a les infraestructures o la població, amb l’objectiu d’evitar danys materials importants i protegir vides humanes.']"
alisis,['Vents alisis.']
al·lèrgia,"['Nom genèric d’alteracions de la salut causades per la hipersensibilitat del sistema immunitari d’algunes persones a agents innocus que s’anomenen al·lergògens. Alguns d’aquests agents, com el pol·len o les espores, es transmeten per l’aire i causen principalment símptomes respiratoris i oculars.']"
alta,['Forma abreujada per a designar un anticicló o una regió d’alta pressió. En les cartes del temps es designa pels símbols A o H.']
altielectrògraf,['Radiosonda emprada per a analitzar la distribució de càrregues elèctriques en els núvols que originen una tempesta.']
altímetre,['Baròmetre aneroide graduat de manera que marca l’altitud sobre el nivell del mar. Aquesta graduació ha estat feta per a una atmosfera tipus.']
altitud,['Altura sobre el nivell del mar.']
altitud baromètrica estàndard,['Altitud d’un punt de l’atmosfera expressada en metres corresponents a una pressió atmosfèrica determinada.']
altocúmul,['Altocúmulus.']
altocúmulus,"['Sostre o banc de núvols mitgencs, fet de lloses o masses globulars aplanades i disposades en rengles, d’una manera regular, en una o dues direccions; els seus elements més petits són prims, amb parts ombrejades o sense.']"
altocumulus,['Altocúmulus.']
altonúvol,['Nom genèric dels núvols d’altitud mitjana (altocúmulus i altoestratus).']
altoestrat,['Altoestratus.']
altoestratus,"['Sostre de núvols mitgencs, constituït per un vel fibrós o estriat, de color més o menys gris o blavenc.']"
altostratus,['Altoestratus.']
altura angular,['Angle que la visual d’un punt forma amb el pla horitzontal.']
altura,['Altura angular.']
altura geopotencial,['Altura d’un punt de l’atmosfera expressada en unitats proporcionals a l’energia potencial per unitat de massa en el mateix nivell. S’acostuma a representar l’altura geopotencial a una pressió de 850 hPa i 500 hPa.']
altura baromètrica,['Altura de la columna d’un baròmetre de mercuri.']
amplitud,"['En un moviment periòdic, el màxim allunyament del punt oscil·lant a una banda i l’altra de la seva posició mitjana.']"
amplitud tèrmica,"['Diferència entre la temperatura més alta i la més baixa que s’han enregistrat en un determinat indret durant un període de temps determinat, generalment un dia.']"
anabàtic | anabàtica,['S’aplica al moviment ascendent de l’aire degut a la convecció.']
anafront,['Front de discontinuïtat en el qual l’aire calent llisca cap amunt.']
anàlisi baromètrica,['Anàlisi sinòptica basada en la distribució espacial de la pressió atmosfèrica.']
anàlisi del temps,['Estudi de l’estat de l’atmosfera durant un període de temps determinat.']
anàlisi diferencial,['Anàlisi sinòptica basada en la diferència de valors d’una variable atmosfèrica en el temps o en l’espai.']
anàlisi frontològica,"['Anàlisi sinòptica basada en la distribució espacial de masses d’aire i de fronts. Examen i discussió de les dades d’una carta del temps, a fi de distingir les masses d’aire i els fronts de discontinuïtat i estudiar-ne els moviments, en vista de la predicció del temps.']"
anàlisi isentròpica,"['Examen i discussió de les dades d’una carta isentròpica i de la distribució de les superfícies isentròpiques de l’atmosfera lliure, en vista de la predicció del temps.']"
anàlisi objectiva,['Anàlisi sinòptica que fa el meteoròleg per mitjà d’un mètode numèric o gràfic independentment del seu judici personal.']
anàlisi sinòptica,['Anàlisi del temps basada en l’estudi de mapes sinòptics.']
anemocinemògraf,['Aparell que inscriu la velocitat de rotació del molinet d’un anemògraf.']
anemògraf,"['Aparell que inscriu la velocitat del vent, sola o juntament amb la direcció.']"
anemograma,"['Inscripció del vent, feta per un anemògraf.']"
